day,month,year,"country_id",hijrah_day,hijrah_month,hijrah_year
7,12,2012,"SG",23,1,1434
7,12,2013,"SG",4,2,1435
7,12,2014,"SG",14,2,1436
7,12,2015,"SG",25,2,1437
7,12,2016,"SG",7,3,1439
7,12,2017,"SG",18,3,1439
7,13,2012,"SG",23,1,1434
8,1,2012,"SG",14,2,1433
8,1,2013,"SG",24,2,1434
8,1,2014,"SG",6,3,1435
8,1,2015,"SG",17,3,1436
8,1,2016,"SG",27,3,1438
8,1,2017,"SG",9,4,1438
8,2,2012,"SG",15,3,1433
8,2,2013,"SG",26,3,1434
8,2,2014,"SG",7,4,1435
8,2,2015,"SG",18,4,1436
8,2,2016,"SG",29,4,1438
8,2,2017,"SG",11,5,1438
8,3,2012,"SG",15,4,1433
8,3,2013,"SG",25,4,1434
8,3,2014,"SG",6,5,1435
8,3,2015,"SG",17,5,1436
8,3,2016,"SG",28,5,1438
8,3,2017,"SG",9,6,1438
8,4,2012,"SG",16,5,1433
8,4,2013,"SG",27,5,1434
8,4,2014,"SG",7,6,1435
8,4,2015,"SG",18,6,1436
8,4,2016,"SG",30,6,1438
8,4,2017,"SG",11,7,1438
8,5,2012,"SG",16,6,1433
8,5,2013,"SG",27,6,1434
8,5,2014,"SG",7,7,1435
8,5,2015,"SG",19,7,1436
8,5,2016,"SG",1,8,1438
8,5,2017,"SG",11,8,1438
8,6,2012,"SG",18,7,1433
8,6,2013,"SG",29,7,1434
8,6,2014,"SG",9,8,1435
8,6,2015,"SG",21,8,1436
8,6,2016,"SG",3,9,1438
8,6,2017,"SG",13,9,1438
8,7,2012,"SG",18,8,1433
8,7,2013,"SG",29,8,1434
8,7,2014,"SG",10,9,1435
8,7,2015,"SG",21,9,1436
8,7,2016,"SG",3,10,1438
8,7,2017,"SG",14,10,1438
8,8,2012,"SG",18,9,1433
8,8,2013,"SG",1,10,1434
8,8,2014,"SG",12,10,1435
8,8,2015,"SG",23,10,1436
8,8,2016,"SG",5,11,1438
8,8,2017,"SG",15,11,1438
8,9,2012,"SG",21,10,1433
8,9,2013,"SG",2,11,1434
8,9,2014,"SG",13,11,1435
8,9,2015,"SG",24,11,1436
8,9,2016,"SG",6,12,1438
8,9,2017,"SG",17,12,1438
8,10,2012,"SG",21,11,1433
8,10,2013,"SG",3,12,1434
8,10,2014,"SG",13,12,1435
8,10,2015,"SG",24,12,1436
